PO Number,Document Date,Posting Date,Material Code,Material Description,Short Text,Supplier Name,Order Quantity,Unit of Measure,Net Price,Currency,Subtotal Raw,FX Rate to INR,Total INR,Total In Crs,Material Group,Plant,Fiscal Year
PO-2024-450019,2024-07-15,2024-07-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,DHL Global Freight Solutions,1,TRIP,67647,EUR,67647,92.4,6250583,0.6251,FREIGHT,2000,FY25
PO-2024-450020,2024-08-15,2024-08-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,Maersk Line Logistics India,105,MONTH,173529,USD,18220545,85.5,1557856598,155.7857,FREIGHT,3000,FY25
PO-2024-450021,2024-09-15,2024-09-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,3M Safety & Industrial PPE Ltd,1150,KG,366,USD,420900,85.5,35986950,3.5987,FREIGHT,1000,FY25
PO-2024-450022,2024-10-15,2024-10-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Schneider Electric Power Systems,11,SET,2906,INR,31966,1,31966,0.0032,MRO,1010,FY25
PO-2024-450023,2024-11-15,2024-11-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Atlas Copco Compressor India,20,UNIT,107059,INR,2141180,1,2141180,0.2141,MRO,1020,FY25
PO-2024-450024,2024-12-15,2024-12-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,Castrol Industrial Lubricants Ltd,13,SET,17647,INR,229411,1,229411,0.0229,MRO,2000,FY25
PO-2025-450025,2025-01-15,2025-01-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,ABB Power Grids India Pvt Ltd,2,DRUM,56118,INR,112236,1,112236,0.0112,MRO,3000,FY26
PO-2025-450026,2025-02-15,2025-02-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Festo Pneumatics India Pvt Ltd,3000,PCS,7794,INR,23382000,1,23382000,2.3382,MRO,1000,FY26
PO-2025-450027,2025-03-15,2025-03-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,3100,BOX,71,USD,220100,85.5,18818550,1.8819,CONSUMABLES,1010,FY26
PO-2025-450028,2025-04-15,2025-04-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,45,PAIR,202,USD,9090,85.5,777195,0.0777,CONSUMABLES,1020,FY26
PO-2025-450029,2025-05-15,2025-05-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,11,MT,1426,EUR,15686,92.4,1449386,0.1449,POLYMERS,2000,FY26
PO-2025-450030,2025-06-15,2025-06-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,13,MT,1347,EUR,17511,92.4,1618016,0.1618,POLYMERS,3000,FY26
PO-2025-450031,2025-07-15,2025-07-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,15,MT,1418,USD,21270,85.5,1818585,0.1819,POLYMERS,1000,FY26
PO-2025-450032,2025-08-15,2025-08-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,65,KL,169,USD,10985,85.5,939218,0.0939,CHEMICAL,1010,FY26
PO-2025-450033,2025-09-15,2025-09-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,19,MT,377,INR,7163,1,7163,0.0007,CHEMICAL,1020,FY26
PO-2025-450034,2025-10-15,2025-10-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,1800,KG,2765,EUR,4977000,92.4,459874800,45.9875,CHEMICAL,2000,FY26
PO-2025-450035,2025-11-15,2025-11-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,23,MT,85,INR,1955,1,1955,0.0002,CHEMICAL,3000,FY26
PO-2025-450036,2025-12-15,2025-12-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,25,MT,971,USD,24275,85.5,2075513,0.2076,POLYMERS,1000,FY26
PO-2026-450037,2026-01-15,2026-01-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,1950,KG,370,EUR,721500,92.4,66666600,6.6667,CHEMICAL,1010,FY26
PO-2026-450038,2026-02-15,2026-02-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,Signode Industrial Packaging Ltd,4200,BOX,40,INR,168000,1,168000,0.0168,PACKAGING,1020,FY26
PO-2026-450039,2026-03-15,2026-03-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Huhtamaki Flexible Packaging Ltd,2050,KG,241,INR,494050,1,494050,0.0494,PACKAGING,2000,FY26
PO-2023-450040,2023-01-15,2023-01-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Essel Propack Laminated Tubes,4400,PCS,11,INR,48400,1,48400,0.0048,PACKAGING,3000,FY24
PO-2023-450041,2023-02-15,2023-02-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,Amcor Packaging India Ltd,10,ROLL,181,INR,1810,1,1810,0.0002,PACKAGING,1000,FY24
PO-2023-450042,2023-03-15,2023-03-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,TCPL Packaging Containers,15,ROLL,994,INR,14910,1,14910,0.0015,PACKAGING,1010,FY24
PO-2023-450043,2023-04-15,2023-04-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Parksons Packaging Solutions,4700,PCS,20,INR,94000,1,94000,0.0094,PACKAGING,1020,FY24
PO-2023-450044,2023-05-15,2023-05-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Universal Corrugators Pvt Ltd,9,DRUM,1568,INR,14112,1,14112,0.0014,PACKAGING,2000,FY24
PO-2023-450045,2023-06-15,2023-06-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,3M Safety & Industrial PPE Ltd,3,TRIP,68529,USD,205587,85.5,17577689,1.7578,FREIGHT,3000,FY24
PO-2023-450046,2023-07-15,2023-07-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,Kuehne + Nagel Supply Chain Ltd,4,CONT,2706,USD,10824,85.5,925452,0.0925,FREIGHT,1000,FY24
PO-2023-450047,2023-08-15,2023-08-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,Blue Dart Express Domestic Freight,5,TRIP,96765,INR,483825,1,483825,0.0484,FREIGHT,1010,FY24
PO-2023-450048,2023-09-15,2023-09-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,TCI Freight Transport Logistics,45,MONTH,302941,INR,13632345,1,13632345,1.3632,FREIGHT,1020,FY24
PO-2023-450049,2023-10-15,2023-10-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,DHL Global Freight Solutions,550,KG,534,EUR,293700,92.4,27137880,2.7138,FREIGHT,2000,FY24
PO-2023-450050,2023-11-15,2023-11-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Atlas Copco Compressor India,3,SET,5947,INR,17841,1,17841,0.0018,MRO,3000,FY24
PO-2023-450051,2023-12-15,2023-12-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Castrol Industrial Lubricants Ltd,60,UNIT,155588,INR,9335280,1,9335280,0.9335,MRO,1000,FY24
PO-2024-450052,2024-01-15,2024-01-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,ABB Power Grids India Pvt Ltd,5,SET,12000,INR,60000,1,60000,0.006,MRO,1010,FY25
PO-2024-450053,2024-02-15,2024-02-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,Festo Pneumatics India Pvt Ltd,6,DRUM,46588,INR,279528,1,279528,0.028,MRO,1020,FY25
PO-2024-450054,2024-03-15,2024-03-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Honeywell Industrial Automation,800,PCS,5324,USD,4259200,85.5,364161600,36.4162,MRO,2000,FY25
PO-2024-450055,2024-04-15,2024-04-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,900,BOX,54,USD,48600,85.5,4155300,0.4155,CONSUMABLES,3000,FY25
PO-2024-450056,2024-05-15,2024-05-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,85,PAIR,153,USD,13005,85.5,1111928,0.1112,CONSUMABLES,1000,FY25
PO-2024-450057,2024-06-15,2024-06-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,17,MT,1303,EUR,22151,92.4,2046752,0.2047,POLYMERS,1010,FY25
PO-2024-450058,2024-07-15,2024-07-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,19,MT,1224,EUR,23256,92.4,2148854,0.2149,POLYMERS,1020,FY25
PO-2024-450059,2024-08-15,2024-08-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,21,MT,1294,USD,27174,85.5,2323377,0.2323,POLYMERS,2000,FY25
PO-2024-450060,2024-09-15,2024-09-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,105,KL,148,USD,15540,85.5,1328670,0.1329,CHEMICAL,3000,FY25
PO-2024-450061,2024-10-15,2024-10-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,25,MT,338,INR,8450,1,8450,0.0008,CHEMICAL,1000,FY25
PO-2024-450062,2024-11-15,2024-11-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,1200,KG,2553,EUR,3063600,92.4,283076640,28.3077,CHEMICAL,1010,FY25
PO-2024-450063,2024-12-15,2024-12-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,29,MT,121,INR,3509,1,3509,0.0004,CHEMICAL,1020,FY25
PO-2025-450064,2025-01-15,2025-01-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,31,MT,1197,USD,37107,85.5,3172649,0.3173,POLYMERS,2000,FY26
PO-2025-450065,2025-02-15,2025-02-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,1350,KG,480,EUR,648000,92.4,59875200,5.9875,CHEMICAL,3000,FY26
PO-2025-450066,2025-03-15,2025-03-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,TCPL Packaging Containers,2000,BOX,60,INR,120000,1,120000,0.012,PACKAGING,1000,FY26
PO-2025-450067,2025-04-15,2025-04-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Parksons Packaging Solutions,1450,KG,299,INR,433550,1,433550,0.0434,PACKAGING,1010,FY26
PO-2025-450068,2025-05-15,2025-05-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Universal Corrugators Pvt Ltd,2200,PCS,17,INR,37400,1,37400,0.0037,PACKAGING,1020,FY26
PO-2025-450069,2025-06-15,2025-06-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,3M Safety & Industrial PPE Ltd,50,ROLL,160,USD,8000,85.5,684000,0.0684,PACKAGING,2000,FY26
PO-2025-450070,2025-07-15,2025-07-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,Signode Industrial Packaging Ltd,55,ROLL,871,INR,47905,1,47905,0.0048,PACKAGING,3000,FY26
PO-2025-450071,2025-08-15,2025-08-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Huhtamaki Flexible Packaging Ltd,2500,PCS,14,INR,35000,1,35000,0.0035,PACKAGING,1000,FY26
PO-2025-450072,2025-09-15,2025-09-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Essel Propack Laminated Tubes,13,DRUM,1356,INR,17628,1,17628,0.0018,PACKAGING,1010,FY26
PO-2025-450073,2025-10-15,2025-10-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,DHL Global Freight Solutions,1,TRIP,54412,EUR,54412,92.4,5027669,0.5028,FREIGHT,1020,FY26
PO-2025-450074,2025-11-15,2025-11-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,Maersk Line Logistics India,2,CONT,2212,USD,4424,85.5,378252,0.0378,FREIGHT,2000,FY26
PO-2025-450075,2025-12-15,2025-12-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,3M Safety & Industrial PPE Ltd,3,TRIP,80882,USD,242646,85.5,20746233,2.0746,FREIGHT,3000,FY26
PO-2026-450076,2026-01-15,2026-01-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,Kuehne + Nagel Supply Chain Ltd,85,MONTH,232353,USD,19750005,85.5,1688625428,168.8625,FREIGHT,1000,FY26
PO-2026-450077,2026-02-15,2026-02-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,Blue Dart Express Domestic Freight,1950,KG,442,INR,861900,1,861900,0.0862,FREIGHT,1010,FY26
PO-2026-450078,2026-03-15,2026-03-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Castrol Industrial Lubricants Ltd,7,SET,4288,INR,30016,1,30016,0.003,MRO,1020,FY26
PO-2023-450079,2023-01-15,2023-01-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,ABB Power Grids India Pvt Ltd,100,UNIT,129118,INR,12911800,1,12911800,1.2912,MRO,2000,FY24
PO-2023-450080,2023-02-15,2023-02-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,Festo Pneumatics India Pvt Ltd,9,SET,22353,INR,201177,1,201177,0.0201,MRO,3000,FY24
PO-2023-450081,2023-03-15,2023-03-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,Honeywell Industrial Automation,10,DRUM,64059,USD,640590,85.5,54770445,5.477,MRO,1000,FY24
PO-2023-450082,2023-04-15,2023-04-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,SKF Bearing Technologies India,3600,PCS,9853,INR,35470800,1,35470800,3.5471,MRO,1010,FY24
PO-2023-450083,2023-05-15,2023-05-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,3700,BOX,86,USD,318200,85.5,27206100,2.7206,CONSUMABLES,1020,FY24
PO-2023-450084,2023-06-15,2023-06-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,25,PAIR,244,USD,6100,85.5,521550,0.0522,CONSUMABLES,2000,FY24
PO-2023-450085,2023-07-15,2023-07-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,23,MT,1529,EUR,35167,92.4,3249431,0.3249,POLYMERS,3000,FY24
PO-2023-450086,2023-08-15,2023-08-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,25,MT,1100,EUR,27500,92.4,2541000,0.2541,POLYMERS,1000,FY24
PO-2023-450087,2023-09-15,2023-09-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,27,MT,1171,USD,31617,85.5,2703254,0.2703,POLYMERS,1010,FY24
PO-2023-450088,2023-10-15,2023-10-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,45,KL,127,USD,5715,85.5,488633,0.0489,CHEMICAL,1020,FY24
PO-2023-450089,2023-11-15,2023-11-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,31,MT,299,INR,9269,1,9269,0.0009,CHEMICAL,2000,FY24
PO-2023-450090,2023-12-15,2023-12-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,600,KG,2341,EUR,1404600,92.4,129785040,12.9785,CHEMICAL,3000,FY24
PO-2024-450091,2024-01-15,2024-01-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,35,MT,101,INR,3535,1,3535,0.0004,CHEMICAL,1000,FY25
PO-2024-450092,2024-02-15,2024-02-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,37,MT,1074,USD,39738,85.5,3397599,0.3398,POLYMERS,1010,FY25
PO-2024-450093,2024-03-15,2024-03-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,750,KG,420,EUR,315000,92.4,29106000,2.9106,CHEMICAL,1020,FY25
PO-2024-450094,2024-04-15,2024-04-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,Signode Industrial Packaging Ltd,4800,BOX,49,INR,235200,1,235200,0.0235,PACKAGING,2000,FY25
PO-2024-450095,2024-05-15,2024-05-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Huhtamaki Flexible Packaging Ltd,850,KG,268,INR,227800,1,227800,0.0228,PACKAGING,3000,FY25
PO-2024-450096,2024-06-15,2024-06-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Essel Propack Laminated Tubes,5000,PCS,14,INR,70000,1,70000,0.007,PACKAGING,1000,FY25
PO-2024-450097,2024-07-15,2024-07-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,Amcor Packaging India Ltd,90,ROLL,199,INR,17910,1,17910,0.0018,PACKAGING,1010,FY25
PO-2024-450098,2024-08-15,2024-08-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,TCPL Packaging Containers,95,ROLL,1097,INR,104215,1,104215,0.0104,PACKAGING,1020,FY25
PO-2024-450099,2024-09-15,2024-09-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Parksons Packaging Solutions,5300,PCS,24,INR,127200,1,127200,0.0127,PACKAGING,2000,FY25
PO-2024-450100,2024-10-15,2024-10-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Universal Corrugators Pvt Ltd,5,DRUM,1744,INR,8720,1,8720,0.0009,PACKAGING,3000,FY25
PO-2024-450101,2024-11-15,2024-11-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,Blue Dart Express Domestic Freight,5,TRIP,80294,INR,401470,1,401470,0.0401,FREIGHT,1000,FY25
PO-2024-450102,2024-12-15,2024-12-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,TCI Freight Transport Logistics,6,CONT,3118,INR,18708,1,18708,0.0019,FREIGHT,1010,FY25
PO-2025-450103,2025-01-15,2025-01-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,DHL Global Freight Solutions,1,TRIP,65000,EUR,65000,92.4,6006000,0.6006,FREIGHT,1020,FY26
PO-2025-450104,2025-02-15,2025-02-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,Maersk Line Logistics India,25,MONTH,161765,USD,4044125,85.5,345772688,34.5773,FREIGHT,2000,FY26
PO-2025-450105,2025-03-15,2025-03-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,3M Safety & Industrial PPE Ltd,1350,KG,351,USD,473850,85.5,40514175,4.0514,FREIGHT,3000,FY26
